rule_type,condition,layout_rule,description,priority
emotional,高い感情・衝撃,大きいコマ+アップ,感情的なシーンでは大きなコマでキャラクターのアップを配置,high
emotional,悲しみ・落胆,縦長コマ+俯瞰,悲しいシーンは縦長コマで俯瞰視点を使用,medium
emotional,驚き・ショック,コマ枠破り,驚きのシーンではコマ枠を破って表現,high
pacing,アクション・戦闘,小刻みコマ割り,動きのあるシーンは小さなコマを連続配置,high
pacing,静寂・間,大きな余白,静かなシーンでは大きなコマに余白を多く取る,medium
context,ページ開始,状況説明コマ必須,各ページの最初には背景・状況が分かるコマを配置,high
context,場面転換,引きのコマ,場面が変わる時は引きで全体を見せるコマを配置,medium
context,時間経過,小さなコマで推移,時間の経過は小さなコマを連続して表現,low
dialogue,会話シーン,交互配置,会話は左右交互にキャラクターを配置,medium
dialogue,独白・モノローグ,単独大コマ,内面の声は単独の大きなコマで表現,medium
tension,緊張・サスペンス,細長いコマ,緊張感のあるシーンは横長の細いコマを使用,high
climax,クライマックス,見開き使用,物語の山場では見開きページを使用,high